benchmark,metric_name,decoder,decoder_label,score_mean,score_std,num_examples,decision_margin_mean,correct_margin_mean,format_valid_rate,latency_seconds_mean,decoder_steps_mean,forward_passes_mean,latency_per_step_ms_mean,latency_per_forward_ms_mean,steps_per_second_mean,tokens_per_forward_mean,factual_speedup_mean,avg_alpha,alpha_std,avg_selected_layer,switch_rate,avg_instability,avg_risk_score,trigger_rate,avg_jsd_current,avg_selection_margin,avg_selection_score,fallback_rate,avg_baseline_margin,avg_jacobi_passes,avg_jacobi_window_size,avg_jacobi_stable_prefix,avg_jacobi_commit_len,jacobi_convergence_rate,panda_disagreement_rate,panda_truth_selection_rate,avg_panda_divergence,avg_panda_safe_confidence,avg_panda_truth_confidence,avg_panda_agreement_prefix,panda_arbitration_rate,score_sem
truthfulqa,mc1,dola,dola,0.28,0.4535573676110726,50,-1362.9986425648342,-1362.9986425648342,,9.471942936400737,120.5,120.5,78.72373738808486,78.72373738808486,12.728350055856627,1.0,1.0,,,2.6901374736374737,0.7231899211899211,,,,6.935722875453289e-05,,6.935722875453289e-05,,,,,,,,,,,,,,,0.06414269805898185
truthfulqa,mc1,fixed_alpha_dola,fixed alpha dola (0.5),0.36,0.48487322138506117,50,-13.670070542193411,-13.670070542193411,,9.443532160102476,120.5,120.5,78.47685447928191,78.47685447928191,12.772799627095221,1.0,1.0,0.5,0.0,3.3257203188967894,0.14457767232767232,12.210641661988493,,,,,,,,,,,,,,,,,,,,0.06857142857142857
truthfulqa,mc1,fixed_alpha_dola_high,fixed alpha dola (1.0),0.4,0.49487165930539356,50,-18.97512656884675,-18.97512656884675,,9.449494824441208,120.5,120.5,78.48085120691564,78.48085120691564,12.781619505866995,1.0,1.0,1.0,0.0,3.525182373182373,0.13527211677211676,12.447005571736414,,,,,,,,,,,,,,,,,,,,0.06998542122237653
truthfulqa,mc1,fixed_alpha_dola_low,fixed alpha dola (0.0),0.34,0.47851812069840644,50,-11.884268882935224,-11.884268882935224,,9.60666675754168,120.5,120.5,79.0188727608841,79.0188727608841,12.708055620525368,1.0,1.0,0.0,0.0,3.334764607941078,0.14387925962925963,12.244292493516136,,,,,,,,,,,,,,,,,,,,0.0676726816132972
truthfulqa,mc1,top_k,top_k,0.04,0.1979486637221574,50,,,,4.91923557508082,120.5,120.5,40.648077308393724,40.648077308393724,24.89105049753224,1.0,1.0,,,,,,,,,,0.0003298970764376092,,,,,,,,,,,,,,,0.027994168488950602
truthfulqa,mc1,top_p,top_p,0.0,0.0,50,,,,4.79386668174091,120.5,120.5,39.922847062932625,39.922847062932625,25.24586518815175,1.0,1.0,,,,,,,,,,6.612847306509731e-05,,,,,,,,,,,,,,,0.0
truthfulqa,mc2,dola,dola,0.527824148006008,0.48686154799633286,50,-82.00793504895044,-82.00793504895044,,9.471942936400737,120.5,120.5,78.72373738808486,78.72373738808486,12.728350055856627,1.0,1.0,,,2.6901374736374737,0.7231899211899211,,,,6.935722875453289e-05,,6.935722875453289e-05,,,,,,,,,,,,,,,0.06885262041743735
truthfulqa,mc2,fixed_alpha_dola,fixed alpha dola (0.5),0.5650879356334557,0.484712717243719,50,-1.1988478801403506,-1.1988478801403506,,9.443532160102476,120.5,120.5,78.47685447928191,78.47685447928191,12.772799627095221,1.0,1.0,0.5,0.0,3.3257203188967894,0.14457767232767232,12.210641661988493,,,,,,,,,,,,,,,,,,,,0.06854872985807825
truthfulqa,mc2,fixed_alpha_dola_high,fixed alpha dola (1.0),0.5758458460194236,0.4934185141021038,50,-3.7192635422792546,-3.7192635422792546,,9.449494824441208,120.5,120.5,78.48085120691564,78.48085120691564,12.781619505866995,1.0,1.0,1.0,0.0,3.525182373182373,0.13527211677211676,12.447005571736414,,,,,,,,,,,,,,,,,,,,0.06977991545691754
truthfulqa,mc2,fixed_alpha_dola_low,fixed alpha dola (0.0),0.5314276191876766,0.4751256166417676,50,0.17618234427214077,0.17618234427214077,,9.60666675754168,120.5,120.5,79.0188727608841,79.0188727608841,12.708055620525368,1.0,1.0,0.0,0.0,3.334764607941078,0.14387925962925963,12.244292493516136,,,,,,,,,,,,,,,,,,,,0.06719290908856676
truthfulqa,mc2,top_k,top_k,0.22222197549009864,0.4409580622146244,50,,,,4.91923557508082,120.5,120.5,40.648077308393724,40.648077308393724,24.89105049753224,1.0,1.0,,,,,,,,,,0.0003298970764376092,,,,,,,,,,,,,,,0.062360887202168085
truthfulqa,mc2,top_p,top_p,,0.0,50,,,,4.79386668174091,120.5,120.5,39.922847062932625,39.922847062932625,25.24586518815175,1.0,1.0,,,,,,,,,,6.612847306509731e-05,,,,,,,,,,,,,,,0.0
truthfulqa,mc3,dola,dola,0.273,0.33406195875952327,50,-1486.333130778547,-1486.333130778547,,9.471942936400737,120.5,120.5,78.72373738808486,78.72373738808486,12.728350055856627,1.0,1.0,,,2.6901374736374737,0.7231899211899211,,,,6.935722875453289e-05,,6.935722875453289e-05,,,,,,,,,,,,,,,0.04724349527506393
truthfulqa,mc3,fixed_alpha_dola,fixed alpha dola (0.5),0.31533333333333335,0.35968681262259694,50,-16.15468344526012,-16.15468344526012,,9.443532160102476,120.5,120.5,78.47685447928191,78.47685447928191,12.772799627095221,1.0,1.0,0.5,0.0,3.3257203188967894,0.14457767232767232,12.210641661988493,,,,,,,,,,,,,,,,,,,,0.05086739686176267
truthfulqa,mc3,fixed_alpha_dola_high,fixed alpha dola (1.0),0.35100000000000003,0.37230376133333365,50,-21.83451267360986,-21.83451267360986,,9.449494824441208,120.5,120.5,78.48085120691564,78.48085120691564,12.781619505866995,1.0,1.0,1.0,0.0,3.525182373182373,0.13527211677211676,12.447005571736414,,,,,,,,,,,,,,,,,,,,0.05265170286001163
truthfulqa,mc3,fixed_alpha_dola_low,fixed alpha dola (0.0),0.307,0.37100235007904236,50,-14.080265951521472,-14.080265951521472,,9.60666675754168,120.5,120.5,79.0188727608841,79.0188727608841,12.708055620525368,1.0,1.0,0.0,0.0,3.334764607941078,0.14387925962925963,12.244292493516136,,,,,,,,,,,,,,,,,,,,0.05246765551540726
truthfulqa,mc3,top_k,top_k,0.04,0.1979486637221574,50,,,,4.91923557508082,120.5,120.5,40.648077308393724,40.648077308393724,24.89105049753224,1.0,1.0,,,,,,,,,,0.0003298970764376092,,,,,,,,,,,,,,,0.027994168488950602
truthfulqa,mc3,top_p,top_p,0.0,0.0,50,,,,4.79386668174091,120.5,120.5,39.922847062932625,39.922847062932625,25.24586518815175,1.0,1.0,,,,,,,,,,6.612847306509731e-05,,,,,,,,,,,,,,,0.0
