benchmark,metric_name,decoder,decoder_label,score_mean,score_std,num_examples,decision_margin_mean,correct_margin_mean,format_valid_rate,latency_seconds_mean,decoder_steps_mean,forward_passes_mean,latency_per_step_ms_mean,latency_per_forward_ms_mean,steps_per_second_mean,tokens_per_forward_mean,factual_speedup_mean,avg_alpha,alpha_std,avg_selected_layer,switch_rate,selected_layer_match_rate,refresh_rate,avg_instability,avg_risk_score,trigger_rate,avg_jsd_current,avg_oracle_jsd_gap,avg_selection_margin,avg_selection_score,fallback_rate,avg_baseline_margin,avg_jacobi_passes,avg_jacobi_window_size,avg_jacobi_stable_prefix,avg_jacobi_commit_len,jacobi_convergence_rate,panda_disagreement_rate,panda_truth_selection_rate,avg_panda_divergence,avg_panda_safe_confidence,avg_panda_truth_confidence,avg_panda_agreement_prefix,panda_arbitration_rate,score_sem
truthfulqa,mc1,fanda_frozen,fanda_frozen,0.4,0.49487165930539356,50,-17.57786496796534,-17.57786496796534,,10.31625265111972,120.5,120.5,85.3434970904579,85.3434970904579,11.745369504404643,1.0,1.0,1.0,0.0,4.32,0.0,0.2584053724053724,0.1645170385170385,12.378137828619025,0.23431385559583456,0.3848836441336442,0.689394459574038,0.003426247313759666,-0.07093768893305842,-0.3589869433382609,0.0,5.229919457495629,,,,,,0.3848836441336442,1.0,0.23431385559583456,0.8055174039959178,0.7542840354304517,,0.0,0.06998542122237653
truthfulqa,mc1,fanda_update1,fanda_update1,0.34,0.47851812069840644,50,-19.400778317519322,-19.400778317519322,,10.484988350100465,120.5,120.5,87.23578391626599,87.23578391626599,11.497443915026942,1.0,1.0,1.0,0.0,2.5983221451750866,0.69196780996781,1.0,1.0,12.63264035901293,0.2243225544757461,0.3677763788499082,0.6928219716239066,0.0,-0.08639684806387021,-0.37278942643423285,0.0,5.262215241980751,,,,,,0.3677763788499082,1.0,0.2243225544757461,0.807025648953132,0.743137896776944,,0.0,0.0676726816132972
truthfulqa,mc1,fanda_update2,fanda_update2,0.38,0.4903143514780146,50,-18.81771051927509,-18.81771051927509,,10.33779525929509,120.5,120.5,86.07739887106352,86.07739887106352,11.649457161743086,1.0,1.0,1.0,0.0,2.8967822896058193,0.3225494227994228,0.6663910403322169,0.5316751483810307,12.542935917147862,0.2289013582252647,0.3806457872193166,0.6911658556193611,0.0016561683542814537,-0.08813739342329616,-0.3702788336043936,0.0,5.255045418748429,,,,,,0.3806457872193166,1.0,0.2289013582252647,0.80937570406461,0.7499320475152587,,0.0,0.06934092056863768
truthfulqa,mc1,fanda_update4,fanda_update4,0.4,0.49487165930539356,50,-18.97512656884675,-18.97512656884675,,10.383023282519135,120.5,120.5,85.82903699567272,85.82903699567272,11.683236499557731,1.0,1.0,1.0,0.0,3.525182373182373,0.13527211677211676,0.46124017649017646,0.31396137196137197,12.447005571736414,0.23428604869330424,0.39278127428127424,0.6903204985801876,0.002500208307610065,-0.06874108577847186,-0.35679034018367434,0.0,5.229919457495629,,,,,,0.39278127428127424,1.0,0.23428604869330424,0.8055174039959178,0.7551058221036482,,0.0,0.06998542122237653
truthfulqa,mc2,fanda_frozen,fanda_frozen,0.5602340730459122,0.48300137851758873,50,-3.167967268362902,-3.167967268362902,,10.31625265111972,120.5,120.5,85.3434970904579,85.3434970904579,11.745369504404643,1.0,1.0,1.0,0.0,4.32,0.0,0.2584053724053724,0.1645170385170385,12.378137828619025,0.23431385559583456,0.3848836441336442,0.689394459574038,0.003426247313759666,-0.07093768893305842,-0.3589869433382609,0.0,5.229919457495629,,,,,,0.3848836441336442,1.0,0.23431385559583456,0.8055174039959178,0.7542840354304517,,0.0,0.06830671001444748
truthfulqa,mc2,fanda_update1,fanda_update1,0.5344484342160397,0.4820580722235921,50,-3.530069764866158,-3.530069764866158,,10.484988350100465,120.5,120.5,87.23578391626599,87.23578391626599,11.497443915026942,1.0,1.0,1.0,0.0,2.5983221451750866,0.69196780996781,1.0,1.0,12.63264035901293,0.2243225544757461,0.3677763788499082,0.6928219716239066,0.0,-0.08639684806387021,-0.37278942643423285,0.0,5.262215241980751,,,,,,0.3677763788499082,1.0,0.2243225544757461,0.807025648953132,0.743137896776944,,0.0,0.06817330635900329
truthfulqa,mc2,fanda_update2,fanda_update2,0.5271404284328571,0.4760878429527219,50,-3.781885877017709,-3.781885877017709,,10.33779525929509,120.5,120.5,86.07739887106352,86.07739887106352,11.649457161743086,1.0,1.0,1.0,0.0,2.8967822896058193,0.3225494227994228,0.6663910403322169,0.5316751483810307,12.542935917147862,0.2289013582252647,0.3806457872193166,0.6911658556193611,0.0016561683542814537,-0.08813739342329616,-0.3702788336043936,0.0,5.255045418748429,,,,,,0.3806457872193166,1.0,0.2289013582252647,0.80937570406461,0.7499320475152587,,0.0,0.06732898843846914
truthfulqa,mc2,fanda_update4,fanda_update4,0.5758458460194236,0.4934185141021038,50,-3.7192635422792546,-3.7192635422792546,,10.383023282519135,120.5,120.5,85.82903699567272,85.82903699567272,11.683236499557731,1.0,1.0,1.0,0.0,3.525182373182373,0.13527211677211676,0.46124017649017646,0.31396137196137197,12.447005571736414,0.23428604869330424,0.39278127428127424,0.6903204985801876,0.002500208307610065,-0.06874108577847186,-0.35679034018367434,0.0,5.229919457495629,,,,,,0.39278127428127424,1.0,0.23428604869330424,0.8055174039959178,0.7551058221036482,,0.0,0.06977991545691754
truthfulqa,mc3,fanda_frozen,fanda_frozen,0.3643333333333333,0.39651271808216576,50,-21.24271233366744,-21.24271233366744,,10.31625265111972,120.5,120.5,85.3434970904579,85.3434970904579,11.745369504404643,1.0,1.0,1.0,0.0,4.32,0.0,0.2584053724053724,0.1645170385170385,12.378137828619025,0.23431385559583456,0.3848836441336442,0.689394459574038,0.003426247313759666,-0.07093768893305842,-0.3589869433382609,0.0,5.229919457495629,,,,,,0.3848836441336442,1.0,0.23431385559583456,0.8055174039959178,0.7542840354304517,,0.0,0.056075366356521834
truthfulqa,mc3,fanda_update1,fanda_update1,0.2936666666666667,0.36555009335014443,50,-22.43037494714489,-22.43037494714489,,10.484988350100465,120.5,120.5,87.23578391626599,87.23578391626599,11.497443915026942,1.0,1.0,1.0,0.0,2.5983221451750866,0.69196780996781,1.0,1.0,12.63264035901293,0.2243225544757461,0.3677763788499082,0.6928219716239066,0.0,-0.08639684806387021,-0.37278942643423285,0.0,5.262215241980751,,,,,,0.3677763788499082,1.0,0.2243225544757461,0.807025648953132,0.743137896776944,,0.0,0.05169658997425252
truthfulqa,mc3,fanda_update2,fanda_update2,0.331,0.3916360532253651,50,-22.01497741091402,-22.01497741091402,,10.33779525929509,120.5,120.5,86.07739887106352,86.07739887106352,11.649457161743086,1.0,1.0,1.0,0.0,2.8967822896058193,0.3225494227994228,0.6663910403322169,0.5316751483810307,12.542935917147862,0.2289013582252647,0.3806457872193166,0.6911658556193611,0.0016561683542814537,-0.08813739342329616,-0.3702788336043936,0.0,5.255045418748429,,,,,,0.3806457872193166,1.0,0.2289013582252647,0.80937570406461,0.7499320475152587,,0.0,0.055385701798558264
truthfulqa,mc3,fanda_update4,fanda_update4,0.35100000000000003,0.37230376133333365,50,-21.83451267360986,-21.83451267360986,,10.383023282519135,120.5,120.5,85.82903699567272,85.82903699567272,11.683236499557731,1.0,1.0,1.0,0.0,3.525182373182373,0.13527211677211676,0.46124017649017646,0.31396137196137197,12.447005571736414,0.23428604869330424,0.39278127428127424,0.6903204985801876,0.002500208307610065,-0.06874108577847186,-0.35679034018367434,0.0,5.229919457495629,,,,,,0.39278127428127424,1.0,0.23428604869330424,0.8055174039959178,0.7551058221036482,,0.0,0.05265170286001163
