benchmark,metric_name,decoder,decoder_label,score_mean,score_std,num_examples,decision_margin_mean,correct_margin_mean,format_valid_rate,latency_seconds_mean,decoder_steps_mean,forward_passes_mean,latency_per_step_ms_mean,latency_per_forward_ms_mean,steps_per_second_mean,tokens_per_forward_mean,factual_speedup_mean,avg_alpha,alpha_std,avg_selected_layer,switch_rate,selected_layer_match_rate,refresh_rate,avg_instability,avg_risk_score,trigger_rate,avg_jsd_current,avg_oracle_jsd_gap,avg_selection_margin,avg_selection_score,fallback_rate,avg_baseline_margin,avg_jacobi_passes,avg_jacobi_window_size,avg_jacobi_stable_prefix,avg_jacobi_commit_len,jacobi_convergence_rate,panda_disagreement_rate,panda_truth_selection_rate,avg_panda_divergence,avg_panda_safe_confidence,avg_panda_truth_confidence,avg_panda_agreement_prefix,panda_arbitration_rate,score_sem
truthfulqa,mc1,exp13_logit_no_top,exp13_logit_no_top,0.38,0.4903143514780146,50,-18.82016274059645,-18.82016274059645,,9.856428607656563,120.5,120.5,81.52936202184561,81.52936202184561,12.292696412472944,1.0,1.0,,,2.7212397047397046,0.7327652902652904,,,,,,6.871407183495848e-05,,,6.871407183495848e-05,,,,,,,,,,,,,,,0.06934092056863768
truthfulqa,mc1,exp13_logit_top,exp13_logit_top,0.3,0.4629100498862757,50,-1402.786429921398,-1402.786429921398,,9.88756725172454,120.5,120.5,82.14684734098988,82.14684734098988,12.204732721099964,1.0,1.0,,,2.686994616494616,0.7032403152403153,,,,,,6.921936950726063e-05,,,6.921936950726063e-05,,,,,,,,,,,,,,,0.06546536707079771
truthfulqa,mc1,exp13_logprob_no_top,exp13_logprob_no_top,0.38,0.4903143514780146,50,-18.82016298686608,-18.82016298686608,,9.87851532182016,120.5,120.5,82.24321079274985,82.24321079274985,12.196887441385893,1.0,1.0,,,2.7212397047397046,0.7327652902652904,,,,,,6.871407183495848e-05,,,6.871407183495848e-05,,,,,,,,,,,,,,,0.06934092056863768
truthfulqa,mc1,exp13_logprob_top,exp13_logprob_top,0.28,0.4535573676110726,50,-1362.9986425648342,-1362.9986425648342,,9.857340365896526,120.5,120.5,81.9298514188044,81.9298514188044,12.229314367952135,1.0,1.0,,,2.6901374736374737,0.7231899211899211,,,,,,6.935722875453289e-05,,,6.935722875453289e-05,,,,,,,,,,,,,,,0.06414269805898185
truthfulqa,mc2,exp13_logit_no_top,exp13_logit_no_top,0.5274135669590528,0.4761598273350018,50,-3.187699976066492,-3.187699976066492,,9.856428607656563,120.5,120.5,81.52936202184561,81.52936202184561,12.292696412472944,1.0,1.0,,,2.7212397047397046,0.7327652902652904,,,,,,6.871407183495848e-05,,,6.871407183495848e-05,,,,,,,,,,,,,,,0.06733916856743907
truthfulqa,mc2,exp13_logit_top,exp13_logit_top,0.5199547833573481,0.48643756388346726,50,-85.53409399564333,-85.53409399564333,,9.88756725172454,120.5,120.5,82.14684734098988,82.14684734098988,12.204732721099964,1.0,1.0,,,2.686994616494616,0.7032403152403153,,,,,,6.921936950726063e-05,,,6.921936950726063e-05,,,,,,,,,,,,,,,0.06879266000917282
truthfulqa,mc2,exp13_logprob_no_top,exp13_logprob_no_top,0.5274135575933273,0.4761598226640116,50,-3.1876999519545506,-3.1876999519545506,,9.87851532182016,120.5,120.5,82.24321079274985,82.24321079274985,12.196887441385893,1.0,1.0,,,2.7212397047397046,0.7327652902652904,,,,,,6.871407183495848e-05,,,6.871407183495848e-05,,,,,,,,,,,,,,,0.0673391679068613
truthfulqa,mc2,exp13_logprob_top,exp13_logprob_top,0.527824148006008,0.48686154799633286,50,-82.00793504895044,-82.00793504895044,,9.857340365896526,120.5,120.5,81.9298514188044,81.9298514188044,12.229314367952135,1.0,1.0,,,2.6901374736374737,0.7231899211899211,,,,,,6.935722875453289e-05,,,6.935722875453289e-05,,,,,,,,,,,,,,,0.06885262041743735
truthfulqa,mc3,exp13_logit_no_top,exp13_logit_no_top,0.32866666666666666,0.388511900202091,50,-22.281343478733945,-22.281343478733945,,9.856428607656563,120.5,120.5,81.52936202184561,81.52936202184561,12.292696412472944,1.0,1.0,,,2.7212397047397046,0.7327652902652904,,,,,,6.871407183495848e-05,,,6.871407183495848e-05,,,,,,,,,,,,,,,0.054943879840913944
truthfulqa,mc3,exp13_logit_top,exp13_logit_top,0.29966666666666664,0.3510349130842709,50,-1528.9327284518583,-1528.9327284518583,,9.88756725172454,120.5,120.5,82.14684734098988,82.14684734098988,12.204732721099964,1.0,1.0,,,2.686994616494616,0.7032403152403153,,,,,,6.921936950726063e-05,,,6.921936950726063e-05,,,,,,,,,,,,,,,0.04964383349502366
truthfulqa,mc3,exp13_logprob_no_top,exp13_logprob_no_top,0.32866666666666666,0.388511900202091,50,-22.281343678285015,-22.281343678285015,,9.87851532182016,120.5,120.5,82.24321079274985,82.24321079274985,12.196887441385893,1.0,1.0,,,2.7212397047397046,0.7327652902652904,,,,,,6.871407183495848e-05,,,6.871407183495848e-05,,,,,,,,,,,,,,,0.054943879840913944
truthfulqa,mc3,exp13_logprob_top,exp13_logprob_top,0.273,0.33406195875952327,50,-1486.333130778547,-1486.333130778547,,9.857340365896526,120.5,120.5,81.9298514188044,81.9298514188044,12.229314367952135,1.0,1.0,,,2.6901374736374737,0.7231899211899211,,,,,,6.935722875453289e-05,,,6.935722875453289e-05,,,,,,,,,,,,,,,0.04724349527506393
