benchmark,metric_name,decoder,decoder_label,score_mean,score_std,num_examples,decision_margin_mean,correct_margin_mean,format_valid_rate,latency_seconds_mean,decoder_steps_mean,forward_passes_mean,latency_per_step_ms_mean,latency_per_forward_ms_mean,steps_per_second_mean,tokens_per_forward_mean,factual_speedup_mean,avg_alpha,alpha_std,avg_selected_layer,switch_rate,avg_instability,avg_risk_score,trigger_rate,avg_jsd_current,avg_selection_margin,avg_selection_score,fallback_rate,avg_baseline_margin,avg_jacobi_passes,avg_jacobi_window_size,avg_jacobi_stable_prefix,avg_jacobi_commit_len,jacobi_convergence_rate,panda_disagreement_rate,panda_truth_selection_rate,avg_panda_divergence,avg_panda_safe_confidence,avg_panda_truth_confidence,avg_panda_agreement_prefix,panda_arbitration_rate,score_sem
truthfulqa,mc1,fanda,fanda,0.4,0.49487165930539356,50,-18.97512656884675,-18.97512656884675,,9.145816869139308,120.5,120.5,75.93188760494427,75.93188760494427,13.172150253940888,1.0,1.0,1.0,0.0,3.525182373182373,0.13527211677211676,12.447005571736414,0.23428604869330424,0.39278127428127424,0.6903204985801876,-0.06874108577847186,-0.35679034018367434,0.0,5.229919457495629,,,,,,0.39278127428127424,1.0,0.23428604869330424,0.8055174039959178,0.7551058221036482,,0.0,0.06998542122237653
truthfulqa,mc1,fanda_greedy,fanda_greedy,0.34,0.47851812069840644,50,-11.884268882935224,-11.884268882935224,,9.116974672160723,120.5,120.5,75.67472044961777,75.67472044961777,13.216095107307119,1.0,1.0,0.0,0.0,3.334764607941078,0.14387925962925963,12.244292493516136,0.23097750123031527,0.38510431725137606,0.6906781870287455,-0.06160121263317518,-0.26220002805109827,0.0,5.505845195360705,,,,,,0.38510431725137606,0.0,0.23097750123031527,0.8219200995391421,0.7754712902003557,,0.0,0.0676726816132972
truthfulqa,mc1,dola,dola,0.28,0.4535573676110726,50,-1362.9986425648342,-1362.9986425648342,,9.071123509700483,120.5,120.5,75.39674891908622,75.39674891908622,13.26656112718567,1.0,1.0,,,2.6901374736374737,0.7231899211899211,,,,6.935722875453289e-05,,6.935722875453289e-05,,,,,,,,,,,,,,,0.06414269805898185
truthfulqa,mc1,pure_argmax_switch,pure_argmax_switch,0.36,0.4848732213850611,50,-18.53265778758188,-18.53265778758188,,9.405410832780108,120.5,120.5,78.15485705234066,78.15485705234066,12.797193229591137,1.0,1.0,0.3722208232943527,0.38981572146605664,2.4394332562861973,0.6980587190587191,12.442560164539664,0.220981648551958,0.3722208232943527,0.6928217524907414,-0.07293246390789049,-0.29714569402371144,0.0,5.419189200314086,,,,,,0.3682208232943527,0.3722208232943527,0.220981648551958,0.8087438415271826,0.7515456636025671,,0.3722208232943527,0.06857142857142856
truthfulqa,mc1,pure_argmax_switchv2,pure_argmax_switchv2,0.38,0.49031435147801467,50,-17.690879548986846,-17.690879548986846,,9.10811385046036,120.5,120.5,75.67352832304076,75.67352832304076,13.218447715229193,1.0,1.0,0.39257925407925404,0.38166476770707175,3.6094247974247975,0.13805133755133756,12.438006022911063,0.2344501878231259,0.39257925407925404,0.690321175094411,-0.06633137616496303,-0.30393900959786013,0.0,5.23298250989462,,,,,,0.39257925407925404,0.39257925407925404,0.2344501878231259,0.8064394676068387,0.7593309421912633,,0.39257925407925404,0.06934092056863769
truthfulqa,mc1,pure_greedy,pure_greedy,0.34,0.47851812069840644,50,-11.884268882935224,-11.884268882935224,,4.377826457221527,120.5,120.5,36.2881211764182,36.2881211764182,27.58965618690961,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0676726816132972
truthfulqa,mc2,fanda,fanda,0.5758458460194236,0.4934185141021038,50,-3.7192635422792546,-3.7192635422792546,,9.145816869139308,120.5,120.5,75.93188760494427,75.93188760494427,13.172150253940888,1.0,1.0,1.0,0.0,3.525182373182373,0.13527211677211676,12.447005571736414,0.23428604869330424,0.39278127428127424,0.6903204985801876,-0.06874108577847186,-0.35679034018367434,0.0,5.229919457495629,,,,,,0.39278127428127424,1.0,0.23428604869330424,0.8055174039959178,0.7551058221036482,,0.0,0.06977991545691754
truthfulqa,mc2,fanda_greedy,fanda_greedy,0.5314276191876766,0.4751256166417676,50,0.17618234427214077,0.17618234427214077,,9.116974672160723,120.5,120.5,75.67472044961777,75.67472044961777,13.216095107307119,1.0,1.0,0.0,0.0,3.334764607941078,0.14387925962925963,12.244292493516136,0.23097750123031527,0.38510431725137606,0.6906781870287455,-0.06160121263317518,-0.26220002805109827,0.0,5.505845195360705,,,,,,0.38510431725137606,0.0,0.23097750123031527,0.8219200995391421,0.7754712902003557,,0.0,0.06719290908856676
truthfulqa,mc2,dola,dola,0.527824148006008,0.48686154799633286,50,-82.00793504895044,-82.00793504895044,,9.071123509700483,120.5,120.5,75.39674891908622,75.39674891908622,13.26656112718567,1.0,1.0,,,2.6901374736374737,0.7231899211899211,,,,6.935722875453289e-05,,6.935722875453289e-05,,,,,,,,,,,,,,,0.06885262041743735
truthfulqa,mc2,pure_argmax_switch,pure_argmax_switch,0.516758895505373,0.49844673802732675,50,-3.48575000523815,-3.48575000523815,,9.405410832780108,120.5,120.5,78.15485705234066,78.15485705234066,12.797193229591137,1.0,1.0,0.3722208232943527,0.38981572146605664,2.4394332562861973,0.6980587190587191,12.442560164539664,0.220981648551958,0.3722208232943527,0.6928217524907414,-0.07293246390789049,-0.29714569402371144,0.0,5.419189200314086,,,,,,0.3682208232943527,0.3722208232943527,0.220981648551958,0.8087438415271826,0.7515456636025671,,0.3722208232943527,0.07049101370388745
truthfulqa,mc2,pure_argmax_switchv2,pure_argmax_switchv2,0.5252387951348136,0.49278979082423024,50,-3.0529641908541283,-3.0529641908541283,,9.10811385046036,120.5,120.5,75.67352832304076,75.67352832304076,13.218447715229193,1.0,1.0,0.39257925407925404,0.38166476770707175,3.6094247974247975,0.13805133755133756,12.438006022911063,0.2344501878231259,0.39257925407925404,0.690321175094411,-0.06633137616496303,-0.30393900959786013,0.0,5.23298250989462,,,,,,0.39257925407925404,0.39257925407925404,0.2344501878231259,0.8064394676068387,0.7593309421912633,,0.39257925407925404,0.0696910005582627
truthfulqa,mc2,pure_greedy,pure_greedy,0.5314276191876766,0.4751256166417676,50,0.17618234427214077,0.17618234427214077,,4.377826457221527,120.5,120.5,36.2881211764182,36.2881211764182,27.58965618690961,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,0.06719290908856676
truthfulqa,mc3,fanda,fanda,0.35100000000000003,0.37230376133333365,50,-21.83451267360986,-21.83451267360986,,9.145816869139308,120.5,120.5,75.93188760494427,75.93188760494427,13.172150253940888,1.0,1.0,1.0,0.0,3.525182373182373,0.13527211677211676,12.447005571736414,0.23428604869330424,0.39278127428127424,0.6903204985801876,-0.06874108577847186,-0.35679034018367434,0.0,5.229919457495629,,,,,,0.39278127428127424,1.0,0.23428604869330424,0.8055174039959178,0.7551058221036482,,0.0,0.05265170286001163
truthfulqa,mc3,fanda_greedy,fanda_greedy,0.307,0.37100235007904236,50,-14.080265951521472,-14.080265951521472,,9.116974672160723,120.5,120.5,75.67472044961777,75.67472044961777,13.216095107307119,1.0,1.0,0.0,0.0,3.334764607941078,0.14387925962925963,12.244292493516136,0.23097750123031527,0.38510431725137606,0.6906781870287455,-0.06160121263317518,-0.26220002805109827,0.0,5.505845195360705,,,,,,0.38510431725137606,0.0,0.23097750123031527,0.8219200995391421,0.7754712902003557,,0.0,0.05246765551540726
truthfulqa,mc3,dola,dola,0.273,0.33406195875952327,50,-1486.333130778547,-1486.333130778547,,9.071123509700483,120.5,120.5,75.39674891908622,75.39674891908622,13.26656112718567,1.0,1.0,,,2.6901374736374737,0.7231899211899211,,,,6.935722875453289e-05,,6.935722875453289e-05,,,,,,,,,,,,,,,0.04724349527506393
truthfulqa,mc3,pure_argmax_switch,pure_argmax_switch,0.312,0.3786992895787337,50,-21.253380954996427,-21.253380954996427,,9.405410832780108,120.5,120.5,78.15485705234066,78.15485705234066,12.797193229591137,1.0,1.0,0.3722208232943527,0.38981572146605664,2.4394332562861973,0.6980587190587191,12.442560164539664,0.220981648551958,0.3722208232943527,0.6928217524907414,-0.07293246390789049,-0.29714569402371144,0.0,5.419189200314086,,,,,,0.3682208232943527,0.3722208232943527,0.220981648551958,0.8087438415271826,0.7515456636025671,,0.3722208232943527,0.053556167138330134
truthfulqa,mc3,pure_argmax_switchv2,pure_argmax_switchv2,0.31766666666666665,0.37086969553437454,50,-20.122481895852683,-20.122481895852683,,9.10811385046036,120.5,120.5,75.67352832304076,75.67352832304076,13.218447715229193,1.0,1.0,0.39257925407925404,0.38166476770707175,3.6094247974247975,0.13805133755133756,12.438006022911063,0.2344501878231259,0.39257925407925404,0.690321175094411,-0.06633137616496303,-0.30393900959786013,0.0,5.23298250989462,,,,,,0.39257925407925404,0.39257925407925404,0.2344501878231259,0.8064394676068387,0.7593309421912633,,0.39257925407925404,0.052448895329789295
truthfulqa,mc3,pure_greedy,pure_greedy,0.307,0.37100235007904236,50,-14.080265951521472,-14.080265951521472,,4.377826457221527,120.5,120.5,36.2881211764182,36.2881211764182,27.58965618690961,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,0.05246765551540726
